Unnamed: 0,대륙,국가,사업명,사업형태,발주처,수행기간,사업비(억원),분야,형태,사업명(영문),경평용,단계
27,아시아,베트남,부온호현 상수도시설 건설사업 PMC,ODA,KOICA,’10.06 ~ ’13.03,40.9,수도,PMC,"The Project for the Construction of Water Supply System in Buon Ho Town, Vietnam",ODA,완료
28,아시아,베트남,호아빈성 상수도건설사업 타당성조사,ODA,KOICA,’06.12 ~ ’07.03,1.5,수도,F/S,Feasibility Study Of Hoa Binh Water Supply System Project,ODA,완료
29,아시아,베트남,롱안성 호아깐떠이 상수도사업 타당성조사,ODA,KOICA,’07.09 ~ ’07.12,0.2,수도,F/S,Hoa Khanh Tay Water Supply Project,ODA,완료
30,아시아,베트남,렌강 및 홍마이강 수자원개발사업 F/S,ODA,EDCF,’14.07 ~ ’14.11,1.2,수자원,PMC,UPGRADE of F/S for Len and Hoang Mai River Water Resources Development Project in Vietnam,ODA,완료
31,아시아,베트남,메콩델타지역 스마트시티 시범사업발굴 및 예비타당성 조사,ODA,국토교통부,’20.07∼’21.03,51.85,도시,F/S,"Feasibility Study for the Excavation of the Smart City Pilot Project in Mekong Delta, Vietnam",ODA,완료
32,아프리카,보츠와나,국가수자원관리 마스터플랜,ODA,국토교통부,’17.04 ~ ’17.12,9.8,수자원,MP,Master Plan of National Water Resources Management,ODA,완료
33,아프리카,보츠와나 ,보츠와나 실시간 물모니터링시스템 구축 타당성 평가용역 , 현지재정(수자원청),국토교통부,’18.08 ~ ’18.12,2.2,수자원,F/S,Botswana Real-time Water Monitoring Feasibility Assessment, 현지재정(수자원청),완료
34,중남미,볼리비아,(KSP-IDB공동컨설팅) 볼리비아 국영수도회사 경영 효율화 및 체계적 수자원 관리계획 수립,ODA,K-Exim,’19.01.~’19.10.,3.0,수도,기술지원,Improvement of water management efficiency of EPSAS in Bolivia,ODA,완료
35,아시아,북한 ,"북한 두만강지역 수자원 이용, 관리 방안 수립 ",ODA,KOICA, ’02.03∼’04.3,2.6,수자원,MP,Establishment of Tumen River Water Resources Use and Management Plan,ODA,완료
36,오세아니아,솔로몬제도 ,(물시장) 탄소중립 구현을 위한 수력발전 연계형(Hybrid형)태양광 예비타당성조사,수주사업(환경부),ADB,’22.09 ~ ’23.04,1.0,기타,F/S,Preliminary Feasibility Study for Hybrid Type Photovoltaic Power Development Project in Solomon Islands,수주사업(환경부),진행
37,오세아니아,솔로몬제도 , 오세아니아 솔로몬제도 티나 수력발전 사업 ,투자사업,,'18.12~'54.09,2400.0,,투자사업,Tina River Hydroelectric Project,투자사업,진행
38,오세아니아,솔로몬제도 ,솔로몬 Fiu River 수력발전사업(ADB),ODA,ADB,’16.05 ~ ’17.12,14.0,수자원,PMC,Fiu River Hydropower Project,ODA,완료
